variant,mu,nu,omega,xi,epsilon_r,rmse_pp
full stochastic,1.6125518712568159,32.622776601683775,0.8356772073222376,0.09122570659297154,9,4.657911741390384
no retrieval branching,1.474148665130928,32.622776601683775,0.7891865463999254,0.0944503502711883,9,6.573129777487881
no encoding branching,2.702457713292939,8.61384496537217,0.9168559210761805,0.21226819780746634,9,5.087155666326972
no branching,0.921343751307778,1.0758585571985984,0.8435549253136658,0.9824702767203328,9,4.934692140564123
