schedule,delta_variant,parameters,delta,d,tau_days,log_tau_days,theta,sigma,rmse_pp,sse,jacobian_condition,optimality,nfev,optimum_isi_ri_7_days,optimum_isi_ri_35_days,optimum_isi_ri_70_days,optimum_isi_ri_350_days
two_event,free,5,0.4012924330517717,0.13667473183807732,0.03180429140503942,-3.44815404845691,0.2465349318888661,0.02667722343179843,4.0199395450585085,0.042015776259405536,1453.6653606638718,5.872545750432164e-08,126,2.1066469060567736,8.334262919526612,15.074599970841316,59.93676133562035
two_event,fixed_one,4,1.0,0.07528690057257517,8.798055764248859e-11,-23.15390526174108,0.2309488640386026,0.01395046202945625,4.1321260695226005,0.04439361122151357,28069.920369704887,7.923179316915197e-07,23,1.4591765182481733,6.376711540386385,12.045306337042689,52.83930458893047
four_event,free,5,0.23061294133878846,0.13675695105648586,0.027785985137776876,-3.5832235171373177,0.2464781580365086,0.026685247982110118,4.019814598065835,0.0420131644473403,1622.1367856388626,7.326038148337909e-08,204,2.108268786207007,8.335131603281495,15.074405406403335,59.92596138871235
four_event,fixed_one,4,1.0,0.09141700740499367,2.0891218565680888e-11,-24.591692209573033,0.23537481904681223,0.017211662919905224,4.0839674467766205,0.04336485427646099,22067.171508550273,7.74303891562068e-09,72,1.6160047043496772,6.87030021260771,12.826159714792164,54.78712399065428
