model,parameters,delta,mu,nu,xi,d,tau_days,theta,sigma,rmse_pp
Deterministic MCM + logistic,6,0.716559377439476,0.06257982547154442,33.54141052836758,0.2235645776279565,,,0.13470477317362906,0.04668274640123232,3.523623619181563
SAC fixed scale + logistic,4,0.6139087432579219,,,,0.28942805299048935,,0.28754839073309263,0.061635326474005936,4.978746206339544
SAC with tau + logistic,5,0.401292401109397,,,,0.13667472264367855,0.03180425907759439,0.2465348999540981,0.026677218539376955,4.0199395450585484
