protocol,parameters,objective_n,delta_1,delta_2,d,tau_days,log_tau_days,theta,sigma,forgetting_rmse_pp,spacing_rmse_pp,joint_rmse_pp,objective_sse,jacobian_condition,optimality,nfev,optimum_isi_ri_7_days,optimum_isi_ri_35_days,optimum_isi_ri_70_days,optimum_isi_ri_350_days
joint,5,37,1.0,0.49308449423547357,0.18528601817617696,0.00037552309099378055,-7.887190594659336,0.14088406065930542,0.022424342663510004,4.769648056305265,4.574595426679397,4.63344181993834,0.079434497465388,806.3230849336816,1.6870166986074047e-07,48,0.9397406465412055,3.548628639915495,6.303106558067505,24.025183605234407
spacing_only,5,26,1.0,0.4331630052784815,0.2220306708969335,0.24184785593181052,-1.4194464450333575,0.33012203522509387,0.05340486051398956,18.28273609597116,3.1069297588069493,10.30326785786571,0.025097832568016544,276.1579241211594,1.721205149031729e-08,42,2.3724541858870363,8.72667368459161,15.118983673528396,54.09887404020422
