panel,mu,nu,omega,xi,epsilon_r
A,0.9798688521935557,3.718688698631635,0.9373509238557075,0.4913557998742757,9
B,1.7816351689466563,12.84573764029831,0.9564217003975833,0.32990437025358,9
C,5.138786305368499,1.051298810575498,0.920765027622881,0.9665891730418105,9
