protocol,parameters,objective_n,delta_1,delta_2,theta,sigma,forgetting_rmse_pp,spacing_rmse_pp,joint_rmse_pp,objective_sse,jacobian_condition,optimality,nfev,d_a,tau_a_days,log_tau_a_days,forgetting_rmse_a_pp,spacing_rmse_a_pp,optimum_a_days,d_b,tau_b_days,log_tau_b_days,forgetting_rmse_b_pp,spacing_rmse_b_pp,optimum_b_days,d_c,tau_c_days,log_tau_c_days,forgetting_rmse_c_pp,spacing_rmse_c_pp,optimum_c_days
joint,9,36,1.0,0.17928102555078096,0.9992020966781218,8.568416784807915e-05,3.7199308870452716,3.4997959963675185,3.6115410713837615,0.04695562407705037,387514666.70026433,5.5726507336814345e-06,1050,6.892851525400689e-05,4.95423576753226e-05,-9.91268254368865,4.067897900542442,2.2273582201966384,2.1824645535660387,7.534724923858562e-05,0.0007062289165595507,-7.255571128608266,2.99968926048741,4.368530200915386,36.661968884587814,8.835496593173126e-05,0.0010158158399684008,-6.892063206129024,3.9959640169124593,3.5637810386137585,36.65690145244163
spacing_only,9,18,1.0,0.2821689978453609,0.5513180777825634,0.035327933116252805,23.46815244911809,2.6573789875795004,16.700536555133137,0.012710993550532288,5353.527929097615,2.934640955104053e-07,70,0.04633305198524727,8.224085370819549e-06,-11.708443468612305,8.8913885065103,1.861609062045838,1.911415363203531,0.123796203857643,0.761300343164495,-0.27272732990888027,22.983660964877313,3.335728094390599,35.84521397908272,0.15704593735374708,1.334052142819085,0.28822103430006135,32.32579584794494,2.567551174035139,33.95969862650213
