protocol,experiment1_m1,experiment2_m1,session2_m2,delta,theta,sigma,forgetting_rmse_pp,spacing_rmse_pp,joint_rmse_pp,objective_sse,calibration_sse,jacobian_condition,d_a,tau_a_days,forgetting_rmse_a_pp,spacing_rmse_a_pp,optimum_a_days,d_b,tau_b_days,forgetting_rmse_b_pp,spacing_rmse_b_pp,optimum_b_days,d_c,tau_c_days,forgetting_rmse_c_pp,spacing_rmse_c_pp,optimum_c_days
forgetting_calibrated,3,4,2,0.14124119866081092,0.2260680568229841,0.06714782523708356,2.8750498389759187,8.588098174003967,6.403957441415649,0.014878640837871824,0.036975100014976954,651.7975452736628,0.414165413744993,2.2800029330329785,2.8189276055948453,7.85016985113241,0.8296713716340003,0.28500440815036304,2.449883253824525,1.2620285447257482,10.793708007279953,24.408661151037936,0.418689264111292,1.939362121662714,3.9062342270400388,6.567875722099437,17.57294265937784
forgetting_calibrated,4,4,2,0.22429295133585228,0.4286042808638209,0.07715003202743594,1.9016578051922441,5.308080877343366,3.9869803741971763,0.006509344334487448,0.010265285950377038,755.5251707230052,0.1932316275219065,0.7237437598200723,1.9913947965879628,4.136279719421193,3.536950931070832,0.1735813688669915,3.175835525358434,1.9176098642159678,7.011752547198849,53.73912579782196,0.22978898249524624,1.9105278720672185,1.790538018845104,4.272433042285199,41.278889576193194
forgetting_calibrated,5,4,2,0.020000624229466597,0.04656687466213903,0.011991169470645784,2.302067537250778,9.78575017683967,7.108460503849673,0.009539126902914953,0.06680005966322976,4048.287993801237,0.24629832255108033,0.2635742060320485,2.8636566638283556,10.551465906311291,0.11366473075681682,0.2679684554816385,4.861445049076217,1.9646987774663969,11.105577007136189,1.5640281561403144,0.39269495421804174,3.331405404298914,1.9590747978893213,7.2536505386647425,2.294845225617459
forgetting_calibrated,6,4,2,0.02000005628673589,0.05045090163717784,0.010115335283967596,2.4669530926690895,11.619716044725866,8.399513632392333,0.010954543610573249,0.04167992841242638,6732.0027031089,0.18181802414266932,0.05360276651453107,3.354111013826908,8.334659402401755,0.24599798460253447,0.19675184406280782,3.540388398832915,1.9009437016920414,16.784700847330967,2.657011644984127,0.2666983664805624,2.2014855257568833,1.8422608485801188,7.338983103383072,3.224736731446697
forgetting_calibrated,7,4,2,0.0439131651693095,0.11228473426526815,0.019143069553445892,2.4852490729252588,14.624515386106744,10.489349675574477,0.011117633318056545,0.03130421397974227,4706.060916437229,0.15361655835831792,0.01587680337696875,3.4188508579690744,7.223135743306858,0.5157276993370871,0.16317841613213477,3.023922898440771,1.9320930918196102,22.302377759162507,9.391271835516246,0.21381031487780966,1.791979588164027,1.7629134859472366,9.59476978133374,8.81227320586643
joint,3,4,2,0.3499454767623622,0.48307639902297994,0.09426563711628705,2.534164560024651,4.236228822265016,3.490531811334326,0.04386172437337281,,194.27524538972656,0.2134083339485161,0.8578444928218795,2.0224675797913085,4.1216216689256315,6.004959952349702,0.16998652344784695,1.210081263170656,1.6702515405065028,4.98009136822252,72.54490518799828,0.23206640786206467,0.9546080963180339,3.5193543061168966,3.4709982261828913,52.55010182295121
joint,4,4,2,0.30236453657627377,0.5028948557882185,0.08490557902761357,2.207551908859314,4.268178214979349,3.397839806784062,0.041563135269238875,,224.96334139578926,0.16160432065137886,0.4061381952459533,2.2572127984296664,3.6445603315320936,5.186545740521493,0.16128025156092993,2.1497406475402236,1.7632574799729357,5.410367232680251,72.22547079075021,0.21043066256035828,1.393958148454389,2.5329369776703907,3.4780946251986062,54.670469119409795
joint,5,4,2,0.2788027438367089,0.49517583720100283,0.07917111295383603,2.543609566802156,4.284075947406452,3.5230140754383834,0.044681861432653076,,244.12055139984056,0.13875076799620698,0.1578924272135818,3.053471811529054,3.353921716713322,4.461125514324642,0.1612409473926061,2.6161787876761706,2.1558846926073296,5.587655190562314,68.52736220952153,0.2043311483184228,1.5557794569408692,2.3320205773880365,3.5481317279633586,53.02667275220932
joint,6,4,2,0.2650265775394459,0.48337260322313574,0.0756855053316428,2.882484825282194,4.362830905945171,3.697499985250337,0.04921742210733447,,259.3888035176915,0.12796412966956378,0.06913242663000492,3.660532977145171,3.470863776382353,3.924533804827697,0.16246521970383018,2.7551033609046516,2.4050478376802773,5.657604369636032,65.17041304901429,0.20243462169088983,1.5750558697480173,2.396330429145468,3.6121320551833653,51.00924774529621
joint,7,4,2,0.2582690041814063,0.475138005033838,0.07387550177523151,3.1372582410298806,4.461781949269873,3.856804858541612,0.05354979738073266,,272.9403830700924,0.12136646315836962,0.034936783435903236,4.104198169238985,3.770914664598135,3.585241372849152,0.16331944435425944,2.7495533080117123,2.5328314144048996,5.673561862985324,63.18675173928503,0.2018618918586329,1.5482087404659315,2.5034956014638303,3.6487522343519876,49.70609182264394
